nama_dosen;prodi;bidang_keahlian
Budi Dwi Satoto;Sistem Informasi ;Data Mining, Health Monitoring, Jaringan Komputer, Supply Chain, Deep Learning, Information System, information retrieval
Wahyudi Agustiono;Sistem Informasi ;Information Systems (design, adoption & implementation), Inter-organizational Information systems, green IS/IT, e-commerce, e-Business, Digitalpreneurship and IS/IT governance, software engineering
Yeni Kustiyahningsih;Sistem Informasi ;Enterprise Architecture Planning (EAP), Decision support system (DSS), Information System.
Muhammad Yusuf;Sistem Informasi ;E-Government, E-Participation, Smart City, Mobile Systems, Data Science, Internet of Things (IoT), Information Systems, Social Media, open data, actor network theory, IT Service management
Wahyudi Setiawan;Sistem Informasi ;Image Processing, Artificial Intelligence, and Decision Support System, medical image mining, data mining, machine learning
Fitri Damayanti;Sistem Informasi ;Image Processing, Artificial Intelligent, pengolahan citra digital
Imamah;Sistem Informasi ;Security and Expert Systems, artificial intelligence, data science, educational data mining, text mining
Aeri Rachmad;Sistem Informasi ;Jaringan Komputer, Pengolahan Citra Digital, software engineering
Firmansyah Adiputra;Sistem Informasi ;Software Engineering, Application Framework, Data Science, rekayasa perangkat lunak
Sri Herawati;Sistem Informasi ;Forecasting, Expert Systems, and decision support systems, business intelligent
Achmad Yasid;Sistem Informasi ;Clustering, Information system, Decision support system, data mining
Mohammad Syarief;Sistem Informasi ;Semantic Web, Natural Language Processing (NLP), Machine learning, and Data Mining, data science, software engineering
Eza Rahmanita;Sistem Informasi ;Data Mining, Sistem Pendukung Keputusan, multimedia, information system
Novi Prastiti;Sistem Informasi ;IT Governance, IT Auditing, IT strategic planning, human and computer interaction
Doni Abdul Fatah;Sistem Informasi ;Human-Computer Interaction, Software Engineering, Information System
Yudha Dwi Putra Negara;Sistem Informasi ;Digital Preneurship, software engineering, information system
Firli Irhamni;Sistem Informasi ;Requirements Engineering, IT/IS Project Managements, information system, bussiness process, IT Government
Muhammad Ali Syakur;Sistem Informasi ;Pengujian Perangkat Lunak, sistem informasi
Rosida Vivin Nahari;Sistem Informasi ;Internet of Thing, artificial intelligence, machine learning, computer vision
Budi Soesilo;Sistem Informasi ;Manajemen Informatika
Hanifudin Sukri;Sistem Informasi ;Data Science, Information System, Machine Learning, Internet of Things
Mala Rosa Aprillya;Sistem Informasi ;Sistem Informasi, Artificial intelligence, Internet of Things, Socio Information Technology
Fitriyatuz Zakiyah;Sistem Informasi ;Sociolinguistics, Corpus Linguistics
Mashudah Sabilaturrizqi;Sistem Informasi ;Information Systems
Arif Muntasa;Teknik Informatika;Biometrics and Computer Vision, facial expression analysis, micro-expression recognition, biomedical imaging, machine learning
Rima Tri Wahyuningrum;Teknik Informatika;Artificial Intelligence, Image Processing, Medical Informatics, Health Informatics, Multimedia
Andharini Dwi Cahyani;Teknik Informatika;Text Mining, Data Mining for Education, Software Engineering, Human-Computer Interaction
Indah Agustien Siradjuddin;Teknik Informatika;Digital Image Processing, Machine Learning, Deep Learning, Computational Intelligence, Video Process
Bain Khusnul Khotimah;Teknik Informatika;Teknologi Informasi, Data Mining, Kecerdasan Buatan
Firdaus Solihin;Teknik Informatika;Information Retrieval, Information Extraction, Informatics
Dwi Kuswanto;Teknik Informatika;Cybersecurity, Machine Learning, Internet Of Things, Software Engineering / Web Development, 
Noor Ifada;Teknik Informatika;Matrix/Tensor Factorization, Recommender System, Personalization, Data Mining, NLP
Mulaab;Teknik Informatika;Data Mining
Arik Kurniawati;Teknik Informatika;game technology, digital learning, Javanese gamelan, generative AI
Hermawan;Teknik Informatika;"Computer Science ""Distributed Computing"" ""Enterprise Resource Planning"""
Yonathan Ferry Hendrawan;Teknik Informatika;"Computer Graphics ""Information Visualization"""
Cucun Very Angkoso;Teknik Informatika;"Computer Science ""Intelligent systems"""
Ari Kusumaningsih;Teknik Informatika;Informatics
Achmad Jauhari;Teknik Informatika;Rekayasa Perangkat Lunak
Moch. Kautsar Sophan;Teknik Informatika;software engineering
Sigit Susanto Putro;Teknik Informatika;Sport Science
Iwan Santosa;Teknik Informatika;information system
Kurniawan Eka Permana;Teknik Informatika;Teknik Informatika
Fika Hastarita Rachman;Teknik Informatika;"Komputasi Bahasa Alami ""Text Processing"""
Meidya Koeshardianto;Teknik Informatika;"Computer Vision ""Image Processing"" ""Machine Learning"""
Rika Yunitarini;Teknik Informatika;"information system ""decision support system"" ""sistem pendukung keputusan"""
Eka Mala Sari Rochman;Teknik Informatika;"Data Mining Klasifikasi Prediksi ""Kecerdasan Komputasi"""
Devie Rosa Anamisa;Teknik Informatika;Teknik Informatika
Abdullah Basuki Rahmat;Teknik Informatika;Informatics
Yoga Dwitya Pramudita;Teknik Informatika;"Computer Network ""Distributed System"" ""Data Mining"""
Ach. Khozaimi;Teknik Informatika;"Optimization ""Medical image processing"" ""Computational intelligence"""
Husni;Teknik Informatika;Teknik Informatika
Ika Oktavia Suzanti;Teknik Informatika;Networking
Fifin Ayu Mufarroha;Teknik Informatika;"Computer Vision ""Software Engineering"""
